id,ws_id,c_sky_cndt_id,c_wthr_typ_id,c_wnd_drct_id,weather_date,dry_bulb_temperature,wet_bulb_temperature,minimum_temperature,maximum_temperature,relative_humidity,visibility_km,wind_speed_kmh,wind_gust_kmh,rain_mm,snow_cm,hail_mm,dew_point,high_cloud_amt,middle_cloud_amt,low_cloud_amt,cu_cloud_amt,cuplus_cloud_amt,cb_cloud_amt,grand_total,fine_fuel_moisture_code,initial_spread_index,duff_moisture_code,build_up_index,drought_code,daily_severity_rating,fire_weather_index,present_weather,weather_remarks,station_id,c_wnd_drct_type,c_sky_cndt_type,name
5547727,4232,,2,1,2026-08-22 12:00:00,22.6,,,,38,,12,30,0.2,,,8,,,,,,,,89.2,7,101.1,124,400.9,9.44,27.2,,,58L,W,,Calgary
5547728,4198,,2,3,2026-08-22 12:00:00,28,,,,38,,4,,0,,,13,,,,,,,,92.5,7.5,53.4,81.5,430.2,7.14,23.3,,,603,SW,,Calgary
5547894,4207,,2,1,2026-08-22 12:00:00,28.2,,,,36,,12,,0,,,12,,,,,,,,91.7,10.1,40.8,64.4,382.1,8.34,25.4,,,616,W,,Calgary
5547729,4208,,2,7,2026-08-22 12:00:00,30.1,,,,36,,8,,0,,,14,,,,,,,,92.3,8.8,67,105.7,625.5,11.02,29.7,,,722,NW,,Calgary
5547731,4203,,2,8,2026-08-22 12:00:00,28.4,,,,35,,7,,0,,,12,,,,,,,,92.5,8.6,61.7,96.8,561.9,9.97,28.1,,,725,N,,Calgary
5547733,4196,,2,4,2026-08-22 12:00:00,18.7,,,,75,,6,,0,,,15,,,,,,,,85.8,3.2,28.6,48.4,391.2,1.32,9,,,753,SE,,Calgary
5547734,4197,,2,4,2026-08-22 12:00:00,26.6,,,,45,,10,,0,,,14,,,,,,,,87.6,5,37.3,61.7,445.3,3.27,15,,,763,SE,,Calgary
5547735,4193,,2,4,2026-08-22 12:00:00,24.4,,,,34,,6,,0,,,8,,,,,,,,92.6,8.4,59.7,83.6,348.2,8.5,25.7,,,777,SE,,Calgary
5547737,4231,,2,2,2026-08-22 12:00:00,22.5,,,,40,,1,,0,,,9,,,,,,,,91.5,5.6,71.7,101.9,439.7,6.08,21.3,,,84L,E,,Calgary
5547895,4199,,2,6,2026-08-22 12:00:00,25.1,,,,55,,5,,0,,,16,,,,,,,,89.6,5.2,76.4,109.6,484.6,5.94,21,,,863,NE,,Calgary
5547896,4210,,2,5,2026-08-22 12:00:00,22,,,,62,,8,,0,,,15,,,,,,,,84.9,3.1,26.3,44.7,373.3,1.17,8.4,,,876,S,,Calgary
5547897,4211,,2,1,2026-08-22 12:00:00,30.9,,,,26,,14,,0,,,10,,,,,,,,93.8,14.8,52,85.8,613.7,16.98,38,,,879,W,,Calgary
